Orthogroup	MHP_NCTC10127_genes	MHP_153B_genes
OG0000543	EXC50_RS00505	NB625_RS02070
OG0000544	EXC50_RS02835	NB625_RS01250
OG0000545	EXC50_RS00770	NB625_RS01815
OG0000546	EXC50_RS01630	NB625_RS02945
OG0000551	EXC50_RS01825	NB625_RS03140
OG0000552	EXC50_RS01980	NB625_RS03305
OG0000553	EXC50_RS01530	NB625_RS02850, NB625_RS02845
OG0000554	EXC50_RS01245	NB625_RS02535
OG0000555	EXC50_RS04055	NB625_RS03075
OG0000556	EXC50_RS03790, EXC50_RS03775	NB625_RS02115
OG0000557	EXC50_RS02825	NB625_RS01265
OG0000558	EXC50_RS02855	NB625_RS01230
OG0000559	EXC50_RS00655	NB625_RS01705
OG0000560	EXC50_RS00760	NB625_RS01805
OG0000561	EXC50_RS02980	NB625_RS01115
OG0000562	EXC50_RS00765	NB625_RS01810
OG0000563	EXC50_RS00750	NB625_RS01800
OG0000564	EXC50_RS04095	NB625_RS01290
OG0000565	EXC50_RS00810	NB625_RS01875
OG0000566	EXC50_RS00800	NB625_RS01855
OG0000567	EXC50_RS00775	NB625_RS01820
OG0000568	EXC50_RS03400	NB625_RS01000
OG0000569	EXC50_RS02850	NB625_RS01235
OG0000570	EXC50_RS02845	NB625_RS01240
OG0000571	EXC50_RS02840	NB625_RS01245
OG0000572	EXC50_RS02820	NB625_RS01270
OG0000573	EXC50_RS00650	NB625_RS01700
OG0000574	EXC50_RS02780	NB625_RS01310
OG0000575	EXC50_RS02865	NB625_RS01220
OG0000576	EXC50_RS00610	NB625_RS01655
OG0000577	EXC50_RS01505	NB625_RS02815
OG0000578	EXC50_RS01525	NB625_RS02840
OG0000579	EXC50_RS00740	NB625_RS01785
OG0000580	EXC50_RS04050	NB625_RS02950
OG0000581	EXC50_RS00725	NB625_RS01770
OG0000582	EXC50_RS04100	NB625_RS01260
OG0000583	EXC50_RS00640	NB625_RS01690
OG0000584	EXC50_RS03715, EXC50_RS03705, EXC50_RS03755	NB625_RS02095
OG0000586	EXC50_RS00625	NB625_RS01675
OG0000587	EXC50_RS03910	NB625_RS01880
OG0000588	EXC50_RS00600	NB625_RS01645
OG0000590	EXC50_RS03745	NB625_RS02085
OG0000591	EXC50_RS03890	NB625_RS01895
OG0000592	EXC50_RS01495	NB625_RS02805
OG0000594	EXC50_RS02860	NB625_RS01225
OG0000600	EXC50_RS02480, EXC50_RS03760	NB625_RS02100
OG0000603	EXC50_RS03765	NB625_RS02105
OG0000605	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770	NB625_RS02110
OG0000606	EXC50_RS00730	NB625_RS01775
OG0000607	EXC50_RS04105	NB625_RS01210
OG0000609	EXC50_RS03905	NB625_RS01835
OG0000610	EXC50_RS04245	NB625_RS01010
OG0000611	EXC50_RS00090	NB625_RS00095
OG0000616	EXC50_RS03795	NB625_RS02120
OG0000619	EXC50_RS00735	NB625_RS01780
OG0000621	EXC50_RS04230	NB625_RS01890
