Orthogroup	MHP_LH_proteins	MHP_116_proteins
OG0000562	WP_146379618.1	WP_146379618.1
OG0000563	WP_011284098.1	WP_348602824.1
OG0000564	WP_233688700.1	WP_348602775.1
OG0000565	WP_160606463.1	WP_348602837.1
OG0000566	WP_233688751.1	WP_348602834.1
OG0000567	WP_233688748.1	WP_348602828.1
OG0000568	WP_160585617.1	WP_044272325.1
OG0000569	WP_160585559.1	WP_348602768.1
OG0000570	WP_233688695.1	WP_348602769.1
OG0000571	WP_044284610.1	WP_011205986.1
OG0000572	WP_233688697.1	WP_348602772.1
OG0000573	WP_014579759.1	WP_348602814.1
OG0000574	WP_011284018.1	WP_348602779.1
OG0000575	WP_233688693.1	WP_348602765.1
OG0000576	WP_011206153.1	WP_348602806.1
OG0000577	WP_233688486.1	WP_011290300.1
OG0000578	WP_233688490.1	WP_348602568.1
OG0000579	WP_233688747.1	WP_146379623.1
OG0000580	WP_233688498.1	WP_041361798.1
OG0000581	WP_233688744.1	WP_348602821.1
OG0000582	WP_233688696.1	WP_348602771.1
OG0000583	WP_011290150.1	WP_348602811.1
OG0000585	WP_160585768.1	WP_348602511.1
OG0000586	WP_233688733.1	WP_348602809.1
OG0000587	WP_011284111.1	WP_348602838.1
OG0000588	WP_233688730.1	WP_348602805.1
OG0000589	WP_002557988.1	WP_348602506.1
OG0000592	WP_233688484.1	WP_347952251.1
OG0000593	WP_233688572.1	WP_348602653.1
OG0000594	WP_233688694.1	WP_348602766.1
OG0000595	WP_233688515.1	WP_348602602.1
OG0000601	WP_020835695.1	WP_348602825.1
OG0000606	WP_233688745.1	WP_020835692.1
OG0000609	WP_157696717.1	WP_348602832.1
OG0000611	WP_232039500.1	WP_348602672.1
OG0000618	WP_135619112.1	WP_348602630.1
