Orthogroup	MHP_LH_proteins	MHP_168L_proteins
OG0000556	WP_094521569.1	WP_014579679.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_014579699.1
OG0000559	WP_011206161.1	WP_014579758.1
OG0000560	WP_011284100.1	WP_011206182.1
OG0000561	WP_011206015.1	WP_011206015.1
OG0000562	WP_146379618.1	WP_014579789.1
OG0000563	WP_011284098.1	WP_014579786.1
OG0000564	WP_233688700.1	WP_014579710.1
OG0000565	WP_160606463.1	WP_014579797.1
OG0000566	WP_233688751.1	WP_228365427.1
OG0000567	WP_233688748.1	WP_228365425.1
OG0000568	WP_160585617.1	WP_011206097.1
OG0000569	WP_160585559.1	WP_014579700.1
OG0000570	WP_233688695.1	WP_014579701.1
OG0000571	WP_044284610.1	WP_014579702.1
OG0000572	WP_233688697.1	WP_014579705.1
OG0000573	WP_014579759.1	WP_014579759.1
OG0000574	WP_011284018.1	WP_014579714.1
OG0000575	WP_233688693.1	WP_014579697.1
OG0000576	WP_011206153.1	WP_014579765.1
OG0000577	WP_233688486.1	WP_011290300.1
OG0000578	WP_233688490.1	WP_016340237.1
OG0000579	WP_233688747.1	WP_016340210.1
OG0000580	WP_233688498.1	WP_228365392.1
OG0000581	WP_233688744.1	WP_014579782.1
OG0000582	WP_233688696.1	WP_228365416.1
OG0000583	WP_011290150.1	WP_014579761.1
OG0000584	WP_233688681.1	WP_014579687.1
OG0000585	WP_160585768.1	WP_044278005.1
OG0000586	WP_233688733.1	WP_228365421.1
OG0000587	WP_011284111.1	WP_269076332.1
OG0000588	WP_233688730.1	WP_014579766.1
OG0000590	WP_233688682.1	WP_228365397.1
OG0000591	WP_258556645.1	WP_258556645.1
OG0000592	WP_233688484.1	WP_014579909.1
OG0000593	WP_233688572.1	WP_014580028.1
OG0000594	WP_233688694.1	WP_011284003.1
OG0000596	WP_014579752.1	WP_014579752.1
OG0000598	WP_020835684.1	WP_020835684.1
OG0000599	WP_011206170.1	WP_014579750.1
OG0000600	WP_011206362.1	WP_014579686.1
OG0000601	WP_020835695.1	WP_014579787.1
OG0000602	WP_233688413.1	WP_016340222.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_233688680.1	WP_014579682.1
OG0000606	WP_233688745.1	WP_014579783.1
OG0000609	WP_157696717.1	WP_158520147.1
OG0000612	WP_232039520.1	WP_044284632.1
OG0000619	WP_011206177.1	WP_014579784.1
OG0000699	WP_233688478.1	WP_233417353.1
