Orthogroup	MHP_LH_proteins	MHP_MHP696_proteins
OG0000555	WP_228366107.1	WP_228366107.1
OG0000557	WP_011205983.1	WP_011205983.1
OG0000558	WP_014579699.1	WP_160587995.1
OG0000559	WP_011206161.1	WP_011206161.1
OG0000560	WP_011284100.1	WP_011284100.1
OG0000561	WP_011206015.1	WP_160584672.1
OG0000562	WP_146379618.1	WP_146379618.1
OG0000563	WP_011284098.1	WP_160587877.1
OG0000564	WP_233688700.1	WP_308507055.1
OG0000565	WP_160606463.1	WP_011290181.1
OG0000566	WP_233688751.1	WP_258555256.1
OG0000567	WP_233688748.1	WP_258555255.1
OG0000568	WP_160585617.1	WP_044272325.1
OG0000569	WP_160585559.1	WP_160587997.1
OG0000570	WP_233688695.1	WP_160587999.1
OG0000571	WP_044284610.1	WP_135618664.1
OG0000572	WP_233688697.1	WP_160588001.1
OG0000573	WP_014579759.1	WP_135618777.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_233688693.1	WP_014579697.1
OG0000576	WP_011206153.1	WP_160585066.1
OG0000577	WP_233688486.1	WP_011290300.1
OG0000578	WP_233688490.1	WP_041361678.1
OG0000579	WP_233688747.1	WP_160587875.1
OG0000580	WP_233688498.1	WP_258555240.1
OG0000581	WP_233688744.1	WP_094521657.1
OG0000582	WP_233688696.1	WP_233688696.1
OG0000583	WP_011290150.1	WP_011290150.1
OG0000585	WP_160585768.1	WP_160588364.1
OG0000586	WP_233688733.1	WP_044272424.1
OG0000587	WP_011284111.1	WP_258555257.1
OG0000588	WP_233688730.1	WP_243216079.1
OG0000589	WP_002557988.1	WP_220191121.1
OG0000591	WP_258556645.1	WP_160585604.1
OG0000592	WP_233688484.1	WP_160587824.1
OG0000593	WP_233688572.1	WP_160584886.1
OG0000594	WP_233688694.1	WP_160587992.1
OG0000595	WP_233688515.1	WP_160588352.1
OG0000597	WP_044272591.1	WP_220191129.1
OG0000601	WP_020835695.1	WP_160587878.1
OG0000602	WP_233688413.1	WP_160617491.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000606	WP_233688745.1	WP_160587871.1
OG0000607	WP_158209054.1	WP_160587988.1
OG0000609	WP_157696717.1	WP_158520147.1
OG0000611	WP_232039500.1	WP_225973003.1
OG0000614	WP_233688425.1	WP_094521688.1
OG0000619	WP_011206177.1	WP_160587873.1
