Orthogroup	MHP_LH_proteins	MHP_7422_proteins
OG0000570	WP_233688695.1	WP_011290093.1
OG0000571	WP_044284610.1	WP_011205986.1
OG0000572	WP_233688697.1	WP_020835628.1
OG0000573	WP_014579759.1	WP_020835676.1
OG0000574	WP_011284018.1	WP_011284018.1
OG0000575	WP_233688693.1	WP_011290089.1
OG0000576	WP_011206153.1	WP_011290145.1
OG0000577	WP_233688486.1	WP_020835810.1
OG0000578	WP_233688490.1	WP_041361678.1
OG0000579	WP_233688747.1	WP_020835691.1
OG0000580	WP_233688498.1	WP_236607953.1
OG0000581	WP_233688744.1	WP_020835690.1
OG0000582	WP_233688696.1	WP_020835627.1
OG0000583	WP_011290150.1	WP_020835674.1
OG0000584	WP_233688681.1	WP_020835557.1
OG0000585	WP_160585768.1	WP_148285449.1
OG0000586	WP_233688733.1	WP_020835672.1
OG0000587	WP_011284111.1	WP_258555257.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000591	WP_258556645.1	WP_258555396.1
OG0000592	WP_233688484.1	WP_011290298.1
OG0000593	WP_233688572.1	WP_020835922.1
OG0000594	WP_233688694.1	WP_011290090.1
OG0000595	WP_233688515.1	WP_020835859.1
OG0000596	WP_014579752.1	WP_020835683.1
OG0000597	WP_044272591.1	WP_051129933.1
OG0000598	WP_020835684.1	WP_020835684.1
OG0000599	WP_011206170.1	WP_041361623.1
OG0000600	WP_011206362.1	WP_014579686.1
OG0000601	WP_020835695.1	WP_020835695.1
OG0000602	WP_233688413.1	WP_041361769.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_233688680.1	WP_011290237.1
OG0000606	WP_233688745.1	WP_020835692.1
OG0000607	WP_158209054.1	WP_158209054.1
OG0000609	WP_157696717.1	WP_158520147.1
OG0000611	WP_232039500.1	WP_236607962.1
OG0000612	WP_232039520.1	WP_041361626.1
OG0000613	WP_233688753.1	WP_225972966.1
OG0000614	WP_233688425.1	WP_020835740.1
OG0000663	WP_269076331.1	WP_269076331.1
