Orthogroup	MHP_ES2_genes	MHP_ES2L_genes
OG0000492	E5E95_RS01440	HZK19_RS01390
OG0000493	E5E95_RS00580	HZK19_RS00570
OG0000494	E5E95_RS00640	HZK19_RS00630
OG0000495	E5E95_RS03035	HZK19_RS02800
OG0000496	E5E95_RS03025	HZK19_RS02790
OG0000497	E5E95_RS03020	HZK19_RS02785
OG0000500	E5E95_RS02045	HZK19_RS01890
OG0000501	E5E95_RS04280, E5E95_RS04275	HZK19_RS03010
OG0000502	E5E95_RS01220	HZK19_RS01165
OG0000503	E5E95_RS00760	HZK19_RS00735
OG0000504	E5E95_RS00895	HZK19_RS00870
OG0000506	E5E95_RS00960	HZK19_RS00915
OG0000508	E5E95_RS00250	HZK19_RS00235
OG0000509	E5E95_RS00285	HZK19_RS00270
OG0000510	E5E95_RS00295	HZK19_RS00280
OG0000511	E5E95_RS00430	HZK19_RS00415
OG0000513	E5E95_RS03645	HZK19_RS03475
OG0000514	E5E95_RS03060	HZK19_RS02825
OG0000515	E5E95_RS01580	HZK19_RS01530
OG0000516	E5E95_RS02130	HZK19_RS01975
OG0000517	E5E95_RS00065	HZK19_RS00065
OG0000518	E5E95_RS03315	HZK19_RS03145
OG0000519	E5E95_RS00785	HZK19_RS00760
OG0000520	E5E95_RS00910	HZK19_RS00885
OG0000521	E5E95_RS00265	HZK19_RS00250
OG0000522	E5E95_RS00300	HZK19_RS00285
OG0000523	E5E95_RS03580	HZK19_RS03410
OG0000525	E5E95_RS03545	HZK19_RS03375
OG0000526	E5E95_RS04020	HZK19_RS03755
OG0000527	E5E95_RS01880	HZK19_RS01730
OG0000528	E5E95_RS02135	HZK19_RS01980
OG0000529	E5E95_RS02355	HZK19_RS02210
OG0000531	E5E95_RS01415	HZK19_RS01365
OG0000532	E5E95_RS01740	HZK19_RS01590
OG0000533	E5E95_RS00600	HZK19_RS00590
OG0000534	E5E95_RS00380	HZK19_RS00365
OG0000535	E5E95_RS00045	HZK19_RS00045
OG0000536	E5E95_RS03765	HZK19_RS03590
OG0000537	E5E95_RS00725	HZK19_RS00700
OG0000538	E5E95_RS01140	HZK19_RS01100
OG0000539	E5E95_RS00210	HZK19_RS00200
OG0000540	E5E95_RS02840	HZK19_RS02605
OG0000541	E5E95_RS02920	HZK19_RS02685
OG0000543	E5E95_RS02460	HZK19_RS03095
OG0000544	E5E95_RS01270	HZK19_RS01215
OG0000545	E5E95_RS01945	HZK19_RS01785
OG0000546	E5E95_RS02990	HZK19_RS02755
OG0000547	E5E95_RS03110	HZK19_RS02875
OG0000548	E5E95_RS01615	HZK19_RS01560
OG0000549	E5E95_RS03535	HZK19_RS03365
OG0000550	E5E95_RS03680	HZK19_RS03510
OG0000552	E5E95_RS03350	HZK19_RS03180
OG0000553	E5E95_RS02890	HZK19_RS02655
OG0000554	E5E95_RS02600	HZK19_RS02360
OG0000555	E5E95_RS04170	HZK19_RS02880
OG0000556	E5E95_RS02515	HZK19_RS03050, HZK19_RS03035
OG0000557	E5E95_RS01280	HZK19_RS01230
OG0000558	E5E95_RS01250	HZK19_RS01195
OG0000559	E5E95_RS01810	HZK19_RS01670
OG0000560	E5E95_RS01930	HZK19_RS01770
OG0000561	E5E95_RS01125	HZK19_RS01085
OG0000562	E5E95_RS01935	HZK19_RS01775
OG0000563	E5E95_RS01920	HZK19_RS01760
OG0000564	E5E95_RS03980	HZK19_RS03725
OG0000565	E5E95_RS01985	HZK19_RS01835
OG0000566	E5E95_RS01975	HZK19_RS01815
OG0000567	E5E95_RS01950	HZK19_RS01790
OG0000568	E5E95_RS00685	HZK19_RS00660
OG0000569	E5E95_RS01255	HZK19_RS01200
OG0000570	E5E95_RS01260	HZK19_RS01205
OG0000571	E5E95_RS01265	HZK19_RS01210
OG0000572	E5E95_RS01285	HZK19_RS01235
OG0000573	E5E95_RS01805	HZK19_RS01665
OG0000574	E5E95_RS01325	HZK19_RS01275
OG0000575	E5E95_RS01240	HZK19_RS01185
OG0000576	E5E95_RS01765	HZK19_RS01615
OG0000577	E5E95_RS02860	HZK19_RS02625
OG0000578	E5E95_RS02885	HZK19_RS02650
OG0000579	E5E95_RS01900	HZK19_RS01750
OG0000580	E5E95_RS04160	HZK19_RS02760
OG0000581	E5E95_RS01885	HZK19_RS01735
OG0000582	E5E95_RS03970	HZK19_RS01225
OG0000583	E5E95_RS01795	HZK19_RS01655
OG0000584	E5E95_RS02485, E5E95_RS01705	HZK19_RS03070
OG0000585	E5E95_RS02325	HZK19_RS02180
OG0000586	E5E95_RS01780	HZK19_RS01635
OG0000587	E5E95_RS04030	HZK19_RS03875
OG0000588	E5E95_RS01755	HZK19_RS01610
OG0000589	E5E95_RS02260	HZK19_RS02120
OG0000590	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475	HZK19_RS03080
OG0000591	E5E95_RS04205	HZK19_RS03885
OG0000592	E5E95_RS02850	HZK19_RS02615
OG0000593	E5E95_RS03745	HZK19_RS03575
OG0000594	E5E95_RS01245	HZK19_RS01190
OG0000595	E5E95_RS03205	HZK19_RS02965
OG0000597	E5E95_RS03200	HZK19_RS02960
OG0000600	E5E95_RS02490	HZK19_RS03065
OG0000601	E5E95_RS01925	HZK19_RS01765
OG0000602	E5E95_RS02155	HZK19_RS02005
OG0000603	E5E95_RS02495	HZK19_RS03060
OG0000604	E5E95_RS04220	HZK19_RS03900
OG0000605	E5E95_RS02500	HZK19_RS03055
OG0000606	E5E95_RS01890	HZK19_RS01740
OG0000608	E5E95_RS01940	HZK19_RS01780
OG0000609	E5E95_RS03860	HZK19_RS01805
OG0000614	E5E95_RS02285	HZK19_RS02140
OG0000615	E5E95_RS02895	HZK19_RS02660
OG0000618	E5E95_RS03500	HZK19_RS03330
OG0000619	E5E95_RS01895	HZK19_RS01745
OG0000620	E5E95_RS04025	HZK19_RS01845
OG0000626	E5E95_RS03950	HZK19_RS03185
OG0000665	E5E95_RS03850	HZK19_RS01050
