Orthogroup	MHP_ES2_genes	MHP_Ue273_genes
OG0000515	E5E95_RS01580	VQY17_RS01590
OG0000516	E5E95_RS02130	VQY17_RS02085
OG0000517	E5E95_RS00065	VQY17_RS00065
OG0000518	E5E95_RS03315	VQY17_RS03095
OG0000519	E5E95_RS00785	VQY17_RS00790
OG0000520	E5E95_RS00910	VQY17_RS00920
OG0000521	E5E95_RS00265	VQY17_RS00270
OG0000523	E5E95_RS03580	VQY17_RS03360
OG0000525	E5E95_RS03545	VQY17_RS03325
OG0000526	E5E95_RS04020	VQY17_RS01905
OG0000527	E5E95_RS01880	VQY17_RS01825
OG0000528	E5E95_RS02135	VQY17_RS02090
OG0000529	E5E95_RS02355	VQY17_RS02245
OG0000531	E5E95_RS01415	VQY17_RS01420
OG0000532	E5E95_RS01740	VQY17_RS01660
OG0000533	E5E95_RS00600	VQY17_RS00600
OG0000534	E5E95_RS00380	VQY17_RS00385
OG0000535	E5E95_RS00045	VQY17_RS00045
OG0000536	E5E95_RS03765	VQY17_RS03545
OG0000537	E5E95_RS00725	VQY17_RS00725
OG0000538	E5E95_RS01140	VQY17_RS01160
OG0000539	E5E95_RS00210	VQY17_RS00215
OG0000540	E5E95_RS02840	VQY17_RS02630
OG0000541	E5E95_RS02920	VQY17_RS02700
OG0000543	E5E95_RS02460	VQY17_RS01600
OG0000544	E5E95_RS01270	VQY17_RS01275
OG0000545	E5E95_RS01945	VQY17_RS01895
OG0000546	E5E95_RS02990	VQY17_RS02765
OG0000547	E5E95_RS03110	VQY17_RS02895
OG0000548	E5E95_RS01615	VQY17_RS01625
OG0000549	E5E95_RS03535	VQY17_RS03315
OG0000550	E5E95_RS03680	VQY17_RS03465
OG0000553	E5E95_RS02890	VQY17_RS02675
OG0000554	E5E95_RS02600	VQY17_RS02395
OG0000557	E5E95_RS01280	VQY17_RS01285
OG0000558	E5E95_RS01250	VQY17_RS01255
OG0000559	E5E95_RS01810	VQY17_RS01745
OG0000560	E5E95_RS01930	VQY17_RS01880
OG0000561	E5E95_RS01125	VQY17_RS01140
OG0000562	E5E95_RS01935	VQY17_RS01885
OG0000563	E5E95_RS01920	VQY17_RS01870
OG0000564	E5E95_RS03980	VQY17_RS01305
OG0000565	E5E95_RS01985	VQY17_RS01945
OG0000566	E5E95_RS01975	VQY17_RS01925
OG0000567	E5E95_RS01950	VQY17_RS01900
OG0000568	E5E95_RS00685	VQY17_RS00685
OG0000569	E5E95_RS01255	VQY17_RS01260
OG0000570	E5E95_RS01260	VQY17_RS01265
OG0000571	E5E95_RS01265	VQY17_RS01270
OG0000572	E5E95_RS01285	VQY17_RS01290
OG0000573	E5E95_RS01805	VQY17_RS01740
OG0000574	E5E95_RS01325	VQY17_RS01325
OG0000575	E5E95_RS01240	VQY17_RS01245
OG0000576	E5E95_RS01765	VQY17_RS01690
OG0000577	E5E95_RS02860	VQY17_RS02650
OG0000578	E5E95_RS02885	VQY17_RS02670
OG0000579	E5E95_RS01900	VQY17_RS01845
OG0000580	E5E95_RS04160	VQY17_RS02770
OG0000581	E5E95_RS01885	VQY17_RS01830
OG0000582	E5E95_RS03970	VQY17_RS01280
OG0000583	E5E95_RS01795	VQY17_RS01730
OG0000585	E5E95_RS02325	VQY17_RS02215
OG0000586	E5E95_RS01780	VQY17_RS01705
OG0000587	E5E95_RS04030	VQY17_RS01950
OG0000588	E5E95_RS01755	VQY17_RS01680
OG0000591	E5E95_RS04205	VQY17_RS01970
OG0000592	E5E95_RS02850	VQY17_RS02640
OG0000593	E5E95_RS03745	VQY17_RS03530
OG0000594	E5E95_RS01245	VQY17_RS01250
OG0000596	E5E95_RS01845	VQY17_RS01785
OG0000598	E5E95_RS01850	VQY17_RS01790
OG0000599	E5E95_RS01855	VQY17_RS01795
OG0000601	E5E95_RS01925	VQY17_RS01875
OG0000602	E5E95_RS02155	VQY17_RS02115
OG0000604	E5E95_RS04220	VQY17_RS02780
OG0000606	E5E95_RS01890	VQY17_RS01840
OG0000608	E5E95_RS01940	VQY17_RS01890
OG0000609	E5E95_RS03860	VQY17_RS01915
OG0000610	E5E95_RS04190	VQY17_RS00675
OG0000612	E5E95_RS04010	VQY17_RS01800
OG0000613	E5E95_RS04035	VQY17_RS01965
OG0000618	E5E95_RS03500	VQY17_RS03275
OG0000622	E5E95_RS03960	VQY17_RS00950
OG0000625	E5E95_RS04295	VQY17_RS01850
OG0000675	E5E95_RS04185	VQY17_RS03385
