Orthogroup	MHP_ES2_genes	MHP_LH_genes
OG0000496	E5E95_RS03025	KUD10_RS02900
OG0000497	E5E95_RS03020	KUD10_RS02895
OG0000500	E5E95_RS02045	KUD10_RS01980
OG0000501	E5E95_RS04280, E5E95_RS04275	KUD10_RS03135
OG0000502	E5E95_RS01220	KUD10_RS01270
OG0000503	E5E95_RS00760	KUD10_RS00755
OG0000504	E5E95_RS00895	KUD10_RS00890
OG0000506	E5E95_RS00960	KUD10_RS00935
OG0000508	E5E95_RS00250	KUD10_RS00250
OG0000509	E5E95_RS00285	KUD10_RS00285
OG0000510	E5E95_RS00295	KUD10_RS00295
OG0000511	E5E95_RS00430	KUD10_RS00430
OG0000512	E5E95_RS02755	KUD10_RS02635
OG0000513	E5E95_RS03645	KUD10_RS03495
OG0000514	E5E95_RS03060	KUD10_RS02935
OG0000516	E5E95_RS02130	KUD10_RS02060
OG0000517	E5E95_RS00065	KUD10_RS00065
OG0000518	E5E95_RS03315	KUD10_RS03175
OG0000519	E5E95_RS00785	KUD10_RS00780
OG0000520	E5E95_RS00910	KUD10_RS00905
OG0000521	E5E95_RS00265	KUD10_RS00265
OG0000522	E5E95_RS00300	KUD10_RS00300
OG0000523	E5E95_RS03580	KUD10_RS03430
OG0000525	E5E95_RS03545	KUD10_RS03395
OG0000526	E5E95_RS04020	KUD10_RS01895
OG0000527	E5E95_RS01880	KUD10_RS01830
OG0000528	E5E95_RS02135	KUD10_RS02065
OG0000529	E5E95_RS02355	KUD10_RS02305
OG0000531	E5E95_RS01415	KUD10_RS01470
OG0000532	E5E95_RS01740	KUD10_RS01685
OG0000533	E5E95_RS00600	KUD10_RS00605
OG0000534	E5E95_RS00380	KUD10_RS00380
OG0000535	E5E95_RS00045	KUD10_RS00045
OG0000536	E5E95_RS03765	KUD10_RS03615
OG0000537	E5E95_RS00725	KUD10_RS00720
OG0000538	E5E95_RS01140	KUD10_RS01120
OG0000539	E5E95_RS00210	KUD10_RS00215
OG0000540	E5E95_RS02840	KUD10_RS02725
OG0000541	E5E95_RS02920	KUD10_RS02800
OG0000543	E5E95_RS02460	KUD10_RS01215
OG0000544	E5E95_RS01270	KUD10_RS01325
OG0000546	E5E95_RS02990	KUD10_RS02865
OG0000547	E5E95_RS03110	KUD10_RS02985
OG0000548	E5E95_RS01615	KUD10_RS01655
OG0000549	E5E95_RS03535	KUD10_RS03385
OG0000550	E5E95_RS03680	KUD10_RS03530
OG0000553	E5E95_RS02890	KUD10_RS02770
OG0000554	E5E95_RS02600	KUD10_RS02455
OG0000555	E5E95_RS04170	KUD10_RS02990
OG0000556	E5E95_RS02515	KUD10_RS01170, KUD10_RS01160
OG0000557	E5E95_RS01280	KUD10_RS01335
OG0000558	E5E95_RS01250	KUD10_RS01305
OG0000559	E5E95_RS01810	KUD10_RS01760
OG0000560	E5E95_RS01930	KUD10_RS01875
OG0000561	E5E95_RS01125	KUD10_RS01105
OG0000562	E5E95_RS01935	KUD10_RS01880
OG0000563	E5E95_RS01920	KUD10_RS01865
OG0000564	E5E95_RS03980	KUD10_RS01360
OG0000565	E5E95_RS01985	KUD10_RS01930
OG0000566	E5E95_RS01975	KUD10_RS01915
OG0000567	E5E95_RS01950	KUD10_RS01890
OG0000568	E5E95_RS00685	KUD10_RS00680
OG0000569	E5E95_RS01255	KUD10_RS01310
OG0000570	E5E95_RS01260	KUD10_RS01315
OG0000571	E5E95_RS01265	KUD10_RS01320
OG0000572	E5E95_RS01285	KUD10_RS01340
OG0000573	E5E95_RS01805	KUD10_RS01755
OG0000574	E5E95_RS01325	KUD10_RS01380
OG0000575	E5E95_RS01240	KUD10_RS01295
OG0000576	E5E95_RS01765	KUD10_RS01715
OG0000577	E5E95_RS02860	KUD10_RS02745
OG0000578	E5E95_RS02885	KUD10_RS02765
OG0000579	E5E95_RS01900	KUD10_RS01855
OG0000580	E5E95_RS04160	KUD10_RS02870
OG0000581	E5E95_RS01885	KUD10_RS01835
OG0000582	E5E95_RS03970	KUD10_RS01330
OG0000583	E5E95_RS01795	KUD10_RS01745
OG0000584	E5E95_RS02485, E5E95_RS01705	KUD10_RS01190
OG0000585	E5E95_RS02325	KUD10_RS02275
OG0000586	E5E95_RS01780	KUD10_RS01730
OG0000587	E5E95_RS04030	KUD10_RS03745
OG0000588	E5E95_RS01755	KUD10_RS01705
OG0000589	E5E95_RS02260	KUD10_RS02220
OG0000590	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475	KUD10_RS01200
OG0000591	E5E95_RS04205	KUD10_RS03705
OG0000592	E5E95_RS02850	KUD10_RS02735
OG0000593	E5E95_RS03745	KUD10_RS03595
OG0000594	E5E95_RS01245	KUD10_RS01300
OG0000596	E5E95_RS01845	KUD10_RS01795
OG0000598	E5E95_RS01850	KUD10_RS01800
OG0000599	E5E95_RS01855	KUD10_RS01805
OG0000600	E5E95_RS02490	KUD10_RS01185
OG0000601	E5E95_RS01925	KUD10_RS01870
OG0000602	E5E95_RS02155	KUD10_RS02090
OG0000603	E5E95_RS02495	KUD10_RS01180
OG0000604	E5E95_RS04220	KUD10_RS03715
OG0000605	E5E95_RS02500	KUD10_RS01175
OG0000606	E5E95_RS01890	KUD10_RS01840
OG0000607	E5E95_RS03855	KUD10_RS01285
OG0000609	E5E95_RS03860	KUD10_RS01905
OG0000612	E5E95_RS04010	KUD10_RS03695
OG0000613	E5E95_RS04035	KUD10_RS01945
OG0000614	E5E95_RS02285	KUD10_RS02240
OG0000618	E5E95_RS03500	KUD10_RS03350
OG0000619	E5E95_RS01895	KUD10_RS01845
