Orthogroup	MHP_ES2_genes	MHP_111A_genes
OG0000554	E5E95_RS02600	NB623_RS02535
OG0000555	E5E95_RS04170	NB623_RS03080
OG0000556	E5E95_RS02515	NB623_RS01970
OG0000557	E5E95_RS01280	NB623_RS01385
OG0000558	E5E95_RS01250	NB623_RS01355
OG0000559	E5E95_RS01810	NB623_RS01825
OG0000560	E5E95_RS01930	NB623_RS02290
OG0000561	E5E95_RS01125	NB623_RS01240
OG0000562	E5E95_RS01935	NB623_RS02280
OG0000563	E5E95_RS01920	NB623_RS02295
OG0000564	E5E95_RS03980	NB623_RS01405
OG0000565	E5E95_RS01985	NB623_RS02220
OG0000566	E5E95_RS01975	NB623_RS02240
OG0000567	E5E95_RS01950	NB623_RS02265
OG0000568	E5E95_RS00685	NB623_RS00685
OG0000569	E5E95_RS01255	NB623_RS01360
OG0000570	E5E95_RS01260	NB623_RS01365
OG0000571	E5E95_RS01265	NB623_RS01370
OG0000572	E5E95_RS01285	NB623_RS01390
OG0000573	E5E95_RS01805	NB623_RS01820
OG0000574	E5E95_RS01325	NB623_RS01425
OG0000575	E5E95_RS01240	NB623_RS01350
OG0000576	E5E95_RS01765	NB623_RS01775
OG0000577	E5E95_RS02860	NB623_RS02825
OG0000578	E5E95_RS02885	NB623_RS02850
OG0000579	E5E95_RS01900	NB623_RS02305
OG0000580	E5E95_RS04160	NB623_RS02955
OG0000581	E5E95_RS01885	NB623_RS02310
OG0000582	E5E95_RS03970	NB623_RS01380
OG0000583	E5E95_RS01795	NB623_RS01810
OG0000584	E5E95_RS02485, E5E95_RS01705	NB623_RS01955
OG0000585	E5E95_RS02325	NB623_RS02350
OG0000586	E5E95_RS01780	NB623_RS01795
OG0000587	E5E95_RS04030	NB623_RS02215
OG0000588	E5E95_RS01755	NB623_RS01765
OG0000589	E5E95_RS02260	NB623_RS01010
OG0000590	E5E95_RS04210, E5E95_RS01715, E5E95_RS02475	NB623_RS01945
OG0000591	E5E95_RS04205	NB623_RS02200
OG0000592	E5E95_RS02850	NB623_RS02815
OG0000593	E5E95_RS03745	NB623_RS03720
OG0000596	E5E95_RS01845	NB623_RS01870
OG0000598	E5E95_RS01850	NB623_RS01875
OG0000599	E5E95_RS01855	NB623_RS01880
OG0000600	E5E95_RS02490	NB623_RS01960
OG0000603	E5E95_RS02495	NB623_RS01965
OG0000604	E5E95_RS04220	NB623_RS02965
OG0000607	E5E95_RS03855	NB623_RS01335
OG0000608	E5E95_RS01940	NB623_RS02275
OG0000609	E5E95_RS03860	NB623_RS02250
OG0000610	E5E95_RS04190	NB623_RS00675
OG0000612	E5E95_RS04010	NB623_RS01885
OG0000613	E5E95_RS04035	NB623_RS02205
OG0000614	E5E95_RS02285	NB623_RS00975
OG0000622	E5E95_RS03960	NB623_RS00960
