Orthogroup	MHP_133A_proteins	MHP_UFV02_proteins
OG0000586	WP_404924460.1	WP_243216085.1
OG0000587	WP_258555257.1	WP_011284111.1
OG0000588	WP_404924457.1	WP_243216079.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000591	WP_258555396.1	WP_279288020.1
OG0000593	WP_404924339.1	WP_243215893.1
OG0000595	WP_404924292.1	WP_020835859.1
OG0000596	WP_014579752.1	WP_243216115.1
OG0000597	WP_404924291.1	WP_243216307.1
OG0000598	WP_404924468.1	WP_243216116.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000600	WP_160584945.1	WP_014579686.1
OG0000603	WP_135618745.1	WP_014579683.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_404924378.1	WP_243216107.1
OG0000607	WP_160587988.1	WP_158209054.1
OG0000610	WP_269076320.1	WP_279288000.1
OG0000612	WP_225973036.1	WP_232039520.1
OG0000613	WP_225972966.1	WP_243234973.1
OG0000615	WP_044272557.1	WP_243216272.1
