Orthogroup	MHP_133A_proteins	MHP_ES2_proteins
OG0000570	WP_011290093.1	WP_135618662.1
OG0000571	WP_011205986.1	WP_135618664.1
OG0000572	WP_160585558.1	WP_135618666.1
OG0000573	WP_404924463.1	WP_135618777.1
OG0000574	WP_014579714.1	WP_014579714.1
OG0000575	WP_146379542.1	WP_135618654.1
OG0000576	WP_011290145.1	WP_011206153.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_160585659.1	WP_044284684.1
OG0000579	WP_146379623.1	WP_135618805.1
OG0000580	WP_041361798.1	WP_240536345.1
OG0000581	WP_404924473.1	WP_135618801.1
OG0000582	WP_404924434.1	WP_240536369.1
OG0000583	WP_404924462.1	WP_135618773.1
OG0000584	WP_160584947.1	WP_135618910.1, WP_135618749.1
OG0000585	WP_146379626.1	WP_135618874.1
OG0000586	WP_404924460.1	WP_044284628.1
OG0000587	WP_258555257.1	WP_318026027.1
OG0000588	WP_404924457.1	WP_228729172.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_404924380.1	WP_135618753.1, WP_135618908.1
OG0000591	WP_258555396.1	WP_276310469.1
OG0000593	WP_404924339.1	WP_135619160.1
OG0000595	WP_404924292.1	WP_135619047.1
OG0000596	WP_014579752.1	WP_135618789.1
OG0000597	WP_404924291.1	WP_167871266.1
OG0000598	WP_404924468.1	WP_228729173.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000600	WP_160584945.1	WP_135618747.1
OG0000603	WP_135618745.1	WP_135618745.1
OG0000604	WP_258555242.1	WP_258555422.1
OG0000605	WP_404924378.1	WP_240536324.1
OG0000607	WP_160587988.1	WP_158209054.1
OG0000608	WP_404924474.1	WP_135618814.1
OG0000610	WP_269076320.1	WP_269076320.1
OG0000612	WP_225973036.1	WP_232039520.1
OG0000613	WP_225972966.1	WP_240536401.1
OG0000615	WP_044272557.1	WP_135618978.1
OG0000620	WP_143826160.1	WP_240536398.1
OG0000622	WP_404924220.1	WP_225973020.1
