Orthogroup	MHP_133A_proteins	MHP_112B_proteins
OG0000582	WP_404924434.1	WP_404912305.1
OG0000583	WP_404924462.1	WP_404912380.1
OG0000584	WP_160584947.1	WP_404912408.1
OG0000585	WP_146379626.1	WP_146379626.1
OG0000586	WP_404924460.1	WP_044272424.1
OG0000587	WP_258555257.1	WP_258555257.1
OG0000588	WP_404924457.1	WP_404912371.1
OG0000589	WP_002557988.1	WP_002557988.1
OG0000590	WP_404924380.1	WP_404912404.1
OG0000591	WP_258555396.1	WP_258555396.1
OG0000593	WP_404924339.1	WP_404912088.1
OG0000595	WP_404924292.1	WP_404911985.1
OG0000596	WP_014579752.1	WP_404912392.1
OG0000597	WP_404924291.1	WP_044272591.1
OG0000598	WP_404924468.1	WP_192894290.1
OG0000599	WP_011206170.1	WP_011206170.1
OG0000600	WP_160584945.1	WP_404912410.1
OG0000603	WP_135618745.1	WP_011206361.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000605	WP_404924378.1	WP_404913750.1
OG0000607	WP_160587988.1	WP_158209054.1
OG0000608	WP_404924474.1	WP_020835697.1
OG0000610	WP_269076320.1	WP_269076320.1
OG0000611	WP_225973003.1	WP_404912129.1
OG0000612	WP_225973036.1	WP_225973036.1
OG0000613	WP_225972966.1	WP_225972966.1
OG0000616	WP_011206358.1	WP_011206358.1
OG0000617	WP_371863322.1	WP_404912373.1
OG0000622	WP_404924220.1	WP_225973020.1
OG0000624	WP_041361696.1	WP_044284705.1
OG0000644	WP_404924293.1	WP_404911987.1
OG0000649	WP_404924441.1	WP_404912330.1
OG0000650	WP_404913668.1	WP_404913668.1
OG0000656	WP_404924225.1	WP_404911840.1
OG0000658	WP_404924264.1	WP_404911932.1
