Orthogroup	MHP_154B_genes	MHP_NCTC10127_genes
OG0000539	NB624_RS00215	EXC50_RS00220
OG0000540	NB624_RS02810, NB624_RS02805	EXC50_RS01485
OG0000543	NB624_RS02075	EXC50_RS00505
OG0000544	NB624_RS01240	EXC50_RS02835
OG0000545	NB624_RS01820	EXC50_RS00770
OG0000546	NB624_RS02950	EXC50_RS01630
OG0000551	NB624_RS03140	EXC50_RS01825
OG0000552	NB624_RS03305	EXC50_RS01980
OG0000553	NB624_RS02855	EXC50_RS01530
OG0000554	NB624_RS02535	EXC50_RS01245
OG0000555	NB624_RS03075	EXC50_RS04055
OG0000556	NB624_RS02120	EXC50_RS03790, EXC50_RS03775
OG0000557	NB624_RS01255	EXC50_RS02825
OG0000558	NB624_RS01220	EXC50_RS02855
OG0000559	NB624_RS01700	EXC50_RS00655
OG0000560	NB624_RS01810	EXC50_RS00760
OG0000561	NB624_RS01110	EXC50_RS02980
OG0000562	NB624_RS01815	EXC50_RS00765
OG0000563	NB624_RS01805	EXC50_RS00750
OG0000564	NB624_RS01280	EXC50_RS04095
OG0000565	NB624_RS01880	EXC50_RS00810
OG0000566	NB624_RS01860	EXC50_RS00800
OG0000567	NB624_RS01825	EXC50_RS00775
OG0000568	NB624_RS00995	EXC50_RS03400
OG0000569	NB624_RS01225	EXC50_RS02850
OG0000570	NB624_RS01230	EXC50_RS02845
OG0000571	NB624_RS01235	EXC50_RS02840
OG0000572	NB624_RS01260	EXC50_RS02820
OG0000573	NB624_RS01695	EXC50_RS00650
OG0000574	NB624_RS01300	EXC50_RS02780
OG0000575	NB624_RS01210	EXC50_RS02865
OG0000577	NB624_RS02830	EXC50_RS01505
OG0000578	NB624_RS02850	EXC50_RS01525
OG0000579	NB624_RS01790	EXC50_RS00740
OG0000580	NB624_RS02955	EXC50_RS04050
OG0000581	NB624_RS01775	EXC50_RS00725
OG0000582	NB624_RS01250	EXC50_RS04100
OG0000583	NB624_RS01685	EXC50_RS00640
OG0000584	NB624_RS02100	EXC50_RS03715, EXC50_RS03705, EXC50_RS03755
OG0000586	NB624_RS01670	EXC50_RS00625
OG0000587	NB624_RS01885	EXC50_RS03910
OG0000588	NB624_RS01650	EXC50_RS00600
OG0000590	NB624_RS02090	EXC50_RS03745
OG0000591	NB624_RS01900	EXC50_RS03890
OG0000592	NB624_RS02820	EXC50_RS01495
OG0000594	NB624_RS01215	EXC50_RS02860
OG0000600	NB624_RS02105	EXC50_RS02480, EXC50_RS03760
OG0000602	NB624_RS02045	EXC50_RS00980
OG0000603	NB624_RS02110	EXC50_RS03765
OG0000605	NB624_RS02115	EXC50_RS02495, EXC50_RS02490, EXC50_RS03770
OG0000606	NB624_RS01780	EXC50_RS00730
OG0000609	NB624_RS01840	EXC50_RS03905
OG0000610	NB624_RS01005	EXC50_RS04245
OG0000611	NB624_RS00095	EXC50_RS00090
OG0000616	NB624_RS02125	EXC50_RS03795
OG0000619	NB624_RS01785	EXC50_RS00735
OG0000621	NB624_RS01895	EXC50_RS04230
