Orthogroup	MHP_154B_genes	MHP_UFV02_genes
OG0000557	NB624_RS01255	FEF31_RS00920
OG0000558	NB624_RS01220	FEF31_RS00890
OG0000559	NB624_RS01700	FEF31_RS01360
OG0000560	NB624_RS01810	FEF31_RS01560
OG0000561	NB624_RS01110	FEF31_RS00765
OG0000562	NB624_RS01815	FEF31_RS01565
OG0000563	NB624_RS01805	FEF31_RS01550
OG0000564	NB624_RS01280	FEF31_RS00945
OG0000565	NB624_RS01880	FEF31_RS01620
OG0000566	NB624_RS01860	FEF31_RS01605
OG0000567	NB624_RS01825	FEF31_RS01580
OG0000568	NB624_RS00995	FEF31_RS00340
OG0000569	NB624_RS01225	FEF31_RS00895
OG0000570	NB624_RS01230	FEF31_RS04405
OG0000571	NB624_RS01235	FEF31_RS00905
OG0000572	NB624_RS01260	FEF31_RS00925
OG0000573	NB624_RS01695	FEF31_RS01355
OG0000574	NB624_RS01300	FEF31_RS00965
OG0000575	NB624_RS01210	FEF31_RS00880
OG0000577	NB624_RS02830	FEF31_RS02400
OG0000578	NB624_RS02850	FEF31_RS02420
OG0000579	NB624_RS01790	FEF31_RS01540
OG0000580	NB624_RS02955	FEF31_RS02535
OG0000581	NB624_RS01775	FEF31_RS01530
OG0000582	NB624_RS01250	FEF31_RS04415
OG0000583	NB624_RS01685	FEF31_RS01345
OG0000584	NB624_RS02100	FEF31_RS01425
OG0000585	NB624_RS02345	FEF31_RS01950
OG0000586	NB624_RS01670	FEF31_RS01330
OG0000587	NB624_RS01885	FEF31_RS04780
OG0000588	NB624_RS01650	FEF31_RS01305
OG0000589	NB624_RS02255	FEF31_RS01890
OG0000591	NB624_RS01900	FEF31_RS04065
OG0000592	NB624_RS02820	FEF31_RS02390
OG0000594	NB624_RS01215	FEF31_RS00885
OG0000595	NB624_RS03165	FEF31_RS02735
OG0000597	NB624_RS03160	FEF31_RS02730
OG0000600	NB624_RS02105	FEF31_RS01430
OG0000605	NB624_RS02115	FEF31_RS01445
OG0000606	NB624_RS01780	FEF31_RS01535
OG0000610	NB624_RS01005	FEF31_RS03930
OG0000614	NB624_RS02270	FEF31_RS01905
