Orthogroup	MHP_TB1_proteins	MHP_MHP709_proteins
OG0000564	WP_252862181.1	WP_258555275.1
OG0000565	WP_014579797.1	WP_011290181.1
OG0000566	WP_228365427.1	WP_258555256.1
OG0000567	WP_228365425.1	WP_258555255.1
OG0000568	WP_011206097.1	WP_044272325.1
OG0000569	WP_014579700.1	WP_160587997.1
OG0000570	WP_088764605.1	WP_160587999.1
OG0000571	WP_014579702.1	WP_135618664.1
OG0000572	WP_014579705.1	WP_160588001.1
OG0000573	WP_014579759.1	WP_135618777.1
OG0000574	WP_014579714.1	WP_011284018.1
OG0000575	WP_088764621.1	WP_014579697.1
OG0000576	WP_014579765.1	WP_160585066.1
OG0000577	WP_011290300.1	WP_011290300.1
OG0000578	WP_014579914.1	WP_041361678.1
OG0000579	WP_014579785.1	WP_160587875.1
OG0000580	WP_252862180.1	WP_258555240.1
OG0000581	WP_014579782.1	WP_094521657.1
OG0000582	WP_228365416.1	WP_233688696.1
OG0000583	WP_014579761.1	WP_011290150.1
OG0000585	WP_044278005.1	WP_160588364.1
OG0000588	WP_014579766.1	WP_243216079.1
OG0000591	WP_258556645.1	WP_160585604.1
OG0000592	WP_014579909.1	WP_160587824.1
OG0000593	WP_014580028.1	WP_160584886.1
OG0000594	WP_011284003.1	WP_160587992.1
OG0000601	WP_014579787.1	WP_160587878.1
OG0000604	WP_258555242.1	WP_258555242.1
OG0000606	WP_014579783.1	WP_160587871.1
OG0000619	WP_014579784.1	WP_160587873.1
OG0000620	WP_143826160.1	WP_143826160.1
OG0000626	WP_189220786.1	WP_220191077.1
