Orthogroup	MHP_MHP679_protein	MHP_11_protein
OG0000594	WP_160590362.1	WP_011206512.1
OG0000595	WP_308507054.1	WP_014579703.1
OG0000596	WP_258555724.1	WP_014579710.1
OG0000597	WP_020835695.1	WP_014579787.1
OG0000598	WP_160590379.1	WP_044284777.1
OG0000599	WP_014579714.1	WP_044284820.1
OG0000600	WP_160590401.1	WP_088172532.1
OG0000601	WP_160590015.1	WP_173670107.1
OG0000602	WP_228365393.1	WP_228365393.1
OG0000603	WP_308704613.1	WP_232039555.1
OG0000604	WP_258555665.1	WP_238374145.1
OG0000607	WP_014579687.1	WP_011206363.1
OG0000608	WP_160590234.1	WP_011206159.1
OG0000609	WP_258555658.1	WP_011206174.1
OG0000610	WP_160590075.1	WP_011206175.1
OG0000611	WP_258555659.1	WP_011206178.1
OG0000612	WP_160590121.1	WP_011206323.1
OG0000613	WP_160587867.1	WP_011206351.1
OG0000614	WP_011206325.1	WP_011290300.1
OG0000615	WP_258555396.1	WP_165255037.1
OG0000616	WP_308704703.1	WP_173670105.1
OG0000617	WP_308507028.1	WP_173670106.1
OG0000618	WP_160590239.1	WP_238374144.1
OG0000621	WP_258555661.1	WP_011206360.1
OG0000623	WP_192894277.1	WP_187145846.1
OG0000627	WP_160590079.1	WP_011206176.1
OG0000632	WP_160590091.1	WP_088172525.1
OG0000633	WP_160581237.1	WP_088172527.1
OG0000634	WP_158209054.1	WP_158209054.1
OG0000636	WP_014579683.1	WP_011206361.1
OG0000641	WP_160590549.1	WP_258556638.1
OG0000650	WP_258555699.1	WP_011206463.1
OG0000652	WP_258555732.1	WP_277620667.1
OG0000674	WP_258555704.1	WP_232039583.1
